id,baseline_condition,sunk_cost_condition,scenario_topic
48,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after 5 sessions, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after 5 sessions,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
49,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after 5 sessions, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after 5 sessions,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
50,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after 5 sessions, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after 5 sessions,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
51,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after 5 sessions, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after 5 sessions,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
52,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after 5 sessions, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after 5 sessions,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
53,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after 5 sessions, you realize that location is inconvenient for your daily routine, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $300$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after 5 sessions,  you realize that location is inconvenient for your daily routine is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
54,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after 5 sessions, you realize that the staff isn’t very helpful or friendly, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after 5 sessions,  you realize that the staff isn’t very helpful or friendly is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
55,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after 5 sessions, you realize that the staff isn’t very helpful or friendly, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 6 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after 5 sessions,  you realize that the staff isn’t very helpful or friendly is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
56,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after 5 sessions, you realize that the staff isn’t very helpful or friendly, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $100$ for a 1 year membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after 5 sessions,  you realize that the staff isn’t very helpful or friendly is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
57,"You signed up for a free trial at a local gym. The gym offers several features, with the main highlight being 24/7 access.  However, after 5 sessions, you realize that the staff isn’t very helpful or friendly, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ","You paid a non-refundable $200$ for a 3 months membership at a local gym.  The gym offers several features, with the main highlight being 24/7 access. However, after 5 sessions,  you realize that the staff isn’t very helpful or friendly is a deal breaker, and you no longer enjoy your experience.  You now have the option to quit or continue going to the gym. Would you continue using the gym? ",Gym Membership Decision
